PRDTNM,RTRVLPRVNS,BSSHNM,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,RTRVLPLANDOC_RTRVLMTHD,DISTBTMLMT,PRDLST_TYPE,IMG_FILE_PATH,PRDLST_CD,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,RTRVL_GRDCD_NM,PRDLST_CD_NM,LCNS_NO,sido,sigungu,record_date
타이거모닝 이뮨샷,이물(유리조각) 혼입,더건강한 주식회사,충청남도 논산시,,8809990731978,320g(40g×8병),데이터없음,자체 규정에 따른 고객 안내문 발송 및 미섭취 제품 회수,2028-02-15,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2548303, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2548304",C0309030200000,2026-05-08 18:05:59.144958,3000225841,20170365027234,1등급,과.채주스,20240333333,충청남도,충청남도 논산시,2026-05-08
"냉동흰다리새우살(두절,탈각)",동물용의약품 기준 초과,(주)해우씨푸드,부산광역시 사하구,,8809458913335,900g,2025.8.26,거래처 보유 재고 반품 회수 및 화물차량을 이용하여 회수,2028.8.25,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2547296, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2547297",C0319060000000,2026-05-08 15:10:10.170831,3000225787,,2등급,기타 수산물가공품,20120254022,부산광역시,부산광역시 사하구,2026-05-08
냉동다진마늘,세균수 부적합,(주)에이치비플러스,인천광역시 연수구,,8809342242305,1kg,데이터없음,메일 발송 및 유선 통화 등,2028.1.19,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545757, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545758",C0312050100000,2026-05-07 09:03:34.873667,3000225717,,3등급,천연향신료,20020190030,인천광역시,인천광역시 연수구,2026-05-07
프리미엄 프로바이오틱스 5000 골드,프로바이오틱스 수 부적합,(주)더블유에이치글로벌,서울특별시 중구,,0629262003347,500mg X 60캡슐 X 2(총 60g),데이터없음,1차 거래처 통보 및 2차 판매처 수량 파악,2028.7.25,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545768, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545769, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545770, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545771",E0000000000000,2026-05-07 14:00:44.688807,3000225736,,3등급,건강기능식품,20130098109,서울특별시,서울특별시 중구,2026-05-07
냉동다진마늘,세균수 부적합,(주)에이치비플러스,인천광역시 연수구,,8809342242305,1kg,데이터없음,메일 발송 및 유선 통화 등,2028.3.3,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545953, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2545954",C0312050100000,2026-05-07 09:03:43.172972,3000225740,,3등급,천연향신료,20020190030,인천광역시,인천광역시 연수구,2026-05-07
비셰프 야채튀김,대장균 규격 부적합,대하상사,경기도 부천시 원미구,,8809210342267,1kg,2026.03.21.,메일 발송 및 유선 통화 등,2027.09.20.,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2544425, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2544426",C0315070100000,2026-05-04 17:34:27.747163,3000225660,,3등급,과.채가공품,20210013757,경기도,경기도 부천시,2026-05-04
프리미엄 오메가3 1310 EPA&DHA,비타민D 함량 부족,(주)더조은월드,서울특별시 서초구,,8500134845666,"1,310mg X 180캡슐 X 2(총 471.6g)",데이터없음,거래선 통보 후 일괄 회수,2028.2.10.,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2543638, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2543639, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2543640, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2543641, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2543642, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2543681",E0000000000000,2026-04-30 16:43:40.695665,3000225578,,3등급,건강기능식품,20240004632,서울특별시,서울특별시 서초구,2026-04-30
낫슈99,세균수 기준 규격 부적합,(주)우포라이스텍,경상남도 창녕군,,8809220292316,750g(250g*3),데이터없음,소비자 판매 및 보관 물량 회수,2027-05-12,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2542188, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2542189",C0324010200000,2026-04-29 13:59:20.438333,3000225470,2003061807477,3등급,당뇨환자용 영양조제식품,20030618074,경상남도,경상남도 창녕군,2026-04-29
이부자 한우 국밥,살모넬라 기준 규격 부적합,주식회사 국왕푸드,경상북도 청도군,,8809895130005,500g,2026-04-13,직접회수,제조일로부터 1년,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2540658, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2540716",C0322020300000,2026-04-28 14:39:49.631908,3000225408,202005644981,2등급,즉석조리식품,20200564498,경상북도,경상북도 청도군,2026-04-28
프리미엄 알티지 오메가-3 1100,EPA와 DHA의 합 함량 부족,뉴트라칼 주식회사,서울특별시 서초구,,8809760951537,"1,201mg X 180캡슐(총 216.18g)",데이터없음,"일반판매원과 협력 및 2차 거래처에게 수입사 직접 회수알림 메일 발송, 유선 통화 알림등",2028.7.16,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2540108, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2540109, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2540110, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2540479",E0000000000000,2026-04-27 16:24:37.79608,3000225386,,3등급,건강기능식품,20240004561,서울특별시,서울특별시 서초구,2026-04-27
마이디데이 브로멜라인,"표시대상 알레르기 유발 원료성분(우유, 대두) 미표시",주식회사 피비에이치,충청남도 천안시 서북구,,,160g(2g*80포),데이터없음,거래처 재고량 반품 및 소비자 보관물량 회수,"2027-07-01, 2028-02-09",가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2537541, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2537542, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2537543, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2537006",C0323020000000,2026-04-23 17:19:22.284741,3000225149,20180037041115,1등급,기타가공품,20250683289,충청남도,충청남도 천안시,2026-04-23
구기자,잔류농약(프로피코나졸) 기준 초과,약용작물산지유통센터(APC),경상북도 영주시,,8809052505004,250g,2026-02-05,택배 또는 직접회수,,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2538743, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2538250",A0500401304000,2026-04-23 18:08:57.966247,3000225170,,2등급,구기자건조,,경상북도,경상북도 영주시,2026-04-23
냉동흰다리새우살,동물용의약품 기준 초과,(주)조은수산,부산광역시 동구,,8809971440400,450g,2025.10.13,업체 직접방문 또는 화물차량 회수,2028.10.12,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2536914, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2536915, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2536916",C0319060000000,2026-04-23 16:17:39.841577,3000225166,,2등급,기타 수산물가공품,20090129167,부산광역시,부산광역시 동구,2026-04-23
국산 무농약 원료 마가루,대장균 기준 규격 부적합,청오건강 농업회사법인주식회사 6공장,경기도 광주시,,8809020762392,200g,데이터없음,판매처에 회수문 및 계획서 전달하여 유통재고량 회수,2027-03-30,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2533152, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2533153",C0315070400000,2026-04-17 18:00:19.265318,3000224939,2016036851339,3등급,서류가공품,20160368513,경기도,경기도 광주시,2026-04-17
슈퍼 멀티비타민 이뮨부스트,판토텐산 함량 부족,주식회사 동도에프앤피,서울특별시 강남구,,7350122362412,250ml(25ml X 10병),데이터없음,"플랫폼 공지 협조요청, 팝업, SMS, 앱푸시, 공문, 이메일 등",2026.11.11,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532635, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532636, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532637, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532638, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532639",E0000000000000,2026-04-16 17:17:35.913889,3000224863,,3등급,건강기능식품,20240016876,서울특별시,서울특별시 강남구,2026-04-16
다용도 건조망 특대형 3단,식약처에 수입신고하지 아니한 식품용 기구 수입·판매,케이케이컴퍼니,경기도 부천시 오정구,,,,데이터없음,메일 발송 및 유선 통화 등,,기구용기포장,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532447,F0000000000000,2026-04-16 16:47:40.752582,3000224881,,1등급,기구 및 용기포장,20160007087,경기도,경기도 부천시,2026-04-16
소고기 배추 수육,세균수 기준 규격 부적합,주식회사 자우담푸드,경기도 파주시,,,120g,데이터없음,택배 등,2027-04-02,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532448, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2532487",C0322020300000,2026-04-16 17:49:34.877917,3000224801,2012035579436,3등급,즉석조리식품,20120355794,경기도,경기도 파주시,2026-04-16
도가니탕,세균발육 기준 규격 부적합,(주)초원식품,경기도 김포시,,8809352251359,600g,데이터없음,방문 및 택배회수,2027-03-10,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2529473, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2529474",C0322020300000,2026-04-15 14:20:30.671389,3000224728,19990208512240,3등급,즉석조리식품,19990208512,경기도,경기도 김포시,2026-04-15
청양 구기자,잔류농약 기준 초과,토종마을,경기도 남양주시,,1100001247554,300g,2026.03.05.,온라인 판매 제품 반품 회수 및 미출고 창고재고 제품 회수,2028.03.04.,농산물,,A0500401304000,2026-04-15 13:24:23.553913,3000224680,,2등급,구기자건조,20160333083,경기도,경기도 남양주시,2026-04-15
파워헬스다이어트C,바실루스세레우스 기준 규격 부적합,(주)파시코,경기도 남양주시,,8809037430093,750g,2026.03.10.,창고재고량 및 소비자 반품회수,2028-03-09,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2528176, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2528178",C0310070000000,2026-04-14 17:46:08.652295,3000224685,2000033230932,2등급,체중조절용 조제식품,20000332309,경기도,경기도 남양주시,2026-04-14
파워헬스다이어트C,대장균군 기준 규격 부적합,(주)파시코,경기도 남양주시,,8809037430093,750g,2026.03.10.,창고재고량 및 소비자 반품 회수,2028.03.09.,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2527374, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2527375, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2527376",C0310070000000,2026-04-10 18:51:15.985212,3000224624,2000033230932,3등급,체중조절용 조제식품,20000332309,경기도,경기도 남양주시,2026-04-10
바베큐 폭립,보존료 부적합,주식회사 엠브이푸드,경기도 안성시,,,3kg,2026-03-12,,2027-03-11,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2525133, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2525134",C0316050300000,2026-04-10 13:25:00.216224,3000224526,2013026203394,3등급,갈비가공품,20130262033,경기도,경기도 안성시,2026-04-10
앙플러스 가정용 특대형 건조망,식약처에 수입신고하지 아니한 식품용 기구 수입·판매,(주)바이어스컴퍼니,인천광역시 남동구,,,,데이터없음,메일 발송 및 유선 통화 등,,기구용기포장,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2525423,F0000000000000,2026-04-09 17:51:29.778952,3000224537,,1등급,기구 및 용기포장,20240021504,인천광역시,인천광역시 남동구,2026-04-09
오징어채(유피),대장균 기준 규격 부적합,(주)전주수산,전북특별자치도 전주시 덕진구,,,12kg,데이터없음,제조업소 택배로 보낸 후 자체폐기,2027-12-18,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2523666,C0319060000000,2026-04-07 18:03:56.058442,3000224363,20190144268325,3등급,기타 수산물가공품,20170481383,전북특별자치도,전북특별자치도 전주시,2026-04-07
냉동리치,잔류농약 기준 초과,신정푸드(주),경기도 파주시,,8809237783074,1kg,포장일자: 2025.8.6,출고금지,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520212, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520213",A0500501000000,2026-04-03 14:57:33.578564,3000224248,,2등급,리치,20000320226,경기도,경기도 파주시,2026-04-03
냉동리치,잔류농약 기준 초과,신정푸드(주),경기도 파주시,,8809237783074,1kg,포장일자: 2026.2.4,출고금지,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520199, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520200",A0500501000000,2026-04-03 14:57:27.339621,3000224242,,2등급,리치,20000320226,경기도,경기도 파주시,2026-04-03
그릴망(캠핑화로대 구성품),식약처에 수입신고하지 아니한 식품용 기구 수입·판매,주식회사 위진테크노,서울특별시 강남구,,,,데이터없음,유통재고량4개(쿠팡물류창고) 반품 및 판매량36개(쿠팡구매자) 직접연락 후 회수(5개는 쿠팡에서 분실 및 폐기),,기구용기포장,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520883, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520675",F0000000000000,2026-04-03 15:59:26.876116,3000224286,,1등급,기구 및 용기포장,20230008538,서울특별시,서울특별시 강남구,2026-04-03
계피분말,금속성이물 기준 규격 부적합,농업회사법인주식회사두손애약초,경상북도 영천시,,8809340568667,200g,데이터없음,판매처 등 연락 후 소분업소로 택배 반품 조치,2027-12-09,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2519406, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2519407, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2519408",C0309010300000,2026-04-02 14:45:34.424279,3000224174,20180042191510,3등급,고형차,20160555012,경상북도,경상북도 영천시,2026-04-02
강황가루,금속성이물 기준 규격 부적합,유앤아이허브,서울특별시 동대문구,,,500g,데이터없음,"홈페이지 회수 공지 후 유통재고량, 소비자 보관물량 회수",2028-01-21,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2516259,C0309010300000,2026-03-31 18:11:35.137467,3000224031,201800421911,3등급,고형차,20200290158,서울특별시,서울특별시 동대문구,2026-03-31
노니분말,금속성이물 기준 규격 부적합,주식회사 디딤푸드,서울특별시 동대문구,,,300g,데이터없음,직접 회수 및 유선통화 후 택배 회수,2028-02-22,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515982, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515984",C0309010300000,2026-03-31 18:10:27.192898,3000224022,20160042150114,3등급,고형차,20200042553,서울특별시,서울특별시 동대문구,2026-03-31
강황분말,금속성이물 기준 규격 부적합,바라크월드팜,경기도 김포시,,8809432235422,350g,2026.1.22.,방문 및 택배회수,2028-01-21,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515872, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515875, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515939",C0323020000000,2026-03-31 11:05:17.290141,3000223980,2007035567290,3등급,기타가공품,20140205357,경기도,경기도 김포시,2026-03-31
보리새싹가루,금속성 이물 기준 규격 부적합,헬로우 그린(hello green),서울특별시 동대문구,,,500g,2025-05-12,제품 구매 고객에게 별도 연락 후 동일 제조일자 제품 식별하여 전량 회수 진행. 회수 제품은 별도 보관 후 폐기 예정,제조일로부터 24개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515815, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515816",C0323020000000,2026-03-31 18:09:06.239905,3000224010,20060042813491,3등급,기타가공품,20190042380,서울특별시,서울특별시 동대문구,2026-03-31
강황가루,금속성이물 기준 규격 부적합,헬로우 그린(hello green),서울특별시 동대문구,,,500g,2026-01-22,제품 구매 고객에게 별도 연락 후 동일 제조일자 제품 식별하여 전량 회수 진행. 회수 제품은 별도 보관 후 폐기 예정,제조일로부터 24개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515790, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515791",C0309010300000,2026-03-31 18:08:20.454444,3000223991,201800421911,3등급,고형차,20190042380,서울특별시,서울특별시 동대문구,2026-03-31
강황분말,금속성 이물 기준 규격 부적합,천지가약초,서울특별시 동대문구,,,"1kg, 250g",데이터없음,"홈페이지 회수 공지 후 유통재고량, 소비자 보관물량 회수",2028-01-25,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514501, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514784",C0309010300000,2026-03-27 13:41:26.480857,3000223742,20160042150124,3등급,고형차,20140042600,서울특별시,서울특별시 동대문구,2026-03-27
냉동 패션후르츠,잔류농약 기준 초과,(주)지안,경기도 남양주시,,8809303620302,1kg,포장일자: 2025.7.20,거래처 통한 수거,포장일로부터 3년까지,농산물,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514484,A0500501100000,2026-03-27 18:12:32.713913,3000223758,,2등급,패션프루트,20140333104,경기도,경기도 남양주시,2026-03-27
냉동리치,잔류농약 기준 초과,신정푸드(주),경기도 파주시,,8809237783074,1kg,포장일자: 2025.7.12,거래처 통한 수거,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514021, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514022",A0500501000000,2026-03-27 10:14:34.051988,3000223746,,2등급,리치,20000320226,경기도,경기도 파주시,2026-03-27
작심랩 단백질쉐이크 곡물맛,대장균군 기준 규격 부적합,(주)작심랩,경기도 하남시,,8809651292862,50g,데이터없음,"운송업체 지정 회수, 소비자 판매분 택배회수",2028-03-06,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2510956, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2510957",C0310070000000,2026-03-25 13:24:14.313558,3000223617,20110372457507,3등급,체중조절용 조제식품,20240525018,경기도,경기도 하남시,2026-03-25
파워 오메가3 포르테 1310,비타민D 함량 부족,제이에스헬스케어(jshealthcare),대구광역시 북구,,8500134845680,"1,310mg X 180캡슐(총 235.8g)",데이터없음,"방문, 전화, 택배 등",2029.1.14.,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2512535, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2512536, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2512537",E0000000000000,2026-03-25 17:24:08.538923,3000223704,,3등급,건강기능식품,20190012295,대구광역시,대구광역시 북구,2026-03-25
새싹귀리분말,금속성 이물 기준 규격 부적합,(주)웰빙,경상북도 김천시,,,500g,데이터없음,쿠팡 물류센터 보유재고 반출 및 소비자 직접 연락,2027-10-19,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2510123,C0323020000000,2026-03-24 18:14:48.224905,3000223477,2010051202346,3등급,기타가공품,20180545230,경상북도,경상북도 김천시,2026-03-24
루띤 발효 곡물 효소,알레르기 유발 원료성분(땅콩) 미표시,루띤,인천광역시 검단구,,8809758540330,75g(2.5*30포),데이터없음,유통제품 구매자분들 안내 후 회수조치,2028-01-06,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2501788, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2501789",C0315060000000,2026-03-13 14:26:19.531535,3000223119,2019032334459,1등급,효소식품,20240291791,인천광역시,인천광역시 검단구,2026-03-13
강황분말,금속성이물 기준 규격 부적합,허브나래,서울특별시 동대문구,,,300g,데이터없음,택배 반품 처리,2027-11-12,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500204, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500205",C0309010300000,2026-03-12 18:06:44.792523,3000222991,20180042191446,3등급,고형차,20170042014,서울특별시,서울특별시 동대문구,2026-03-12
강황가루,금속성이물 기준 규격 부적합,(주)샘그린유통,서울특별시 동대문구,,,500g,데이터없음,"홈페이지 회수 공지 후 유통재고량, 소비자 보관물량 회수",2027-11-03,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500241,C0309010300000,2026-03-12 18:06:55.660037,3000223010,2013004204541,3등급,고형차,20190042356,서울특별시,서울특별시 동대문구,2026-03-12
칡분말,금속성이물 기준 규격 부적합,(주)샘그린유통,서울특별시 동대문구,,,500g,데이터없음,소비자 보관물품 회수,2027-12-29,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500262,C0323020000000,2026-03-12 18:07:04.892732,3000223013,2013004204562,3등급,기타가공품,20190042356,서울특별시,서울특별시 동대문구,2026-03-12
핑거루트 분말,금속성이물 기준 규격 부적합,(주)푸드시너지,경기도 의정부시,,,300g,데이터없음,구매고객 연락,2027-07-28,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500348, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500349",C0323020000000,2026-03-12 16:46:11.312165,3000223020,2013004204594,3등급,기타가공품,20140056296,경기도,경기도 의정부시,2026-03-12
강황가루,금속성이물 기준 규격 부적합,(주)푸드시너지,경기도 의정부시,,,600g,데이터없음,구매고객 연락,2027-05-02,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500372, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500373",C0309010300000,2026-03-12 16:46:27.972515,3000223026,2013004204541,3등급,고형차,20140056296,경기도,경기도 의정부시,2026-03-12
강황분,금속성이물 기준 규격 부적합,(주)신영에프에스,경기도 광주시,,8809258650263,500g,데이터없음,영업자 직접 회수,2027-09-04,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2500403,C0312050100000,2026-03-12 14:41:19.925559,3000223016,2017031146357,3등급,천연향신료,20150368481,경기도,경기도 광주시,2026-03-12
파워 오메가3 포르테 1310,비타민D 함량 부족,제이에스헬스케어(jshealthcare),대구광역시 북구,,8500134845680,"1,310mg X 180캡슐(총 235.8g)",데이터없음,방문 및 택배 수거 등,2027.10.5,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2499295, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2499296, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2499297, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2499298",E0000000000000,2026-03-11 14:59:46.531791,3000222922,,3등급,건강기능식품,20190012295,대구광역시,대구광역시 북구,2026-03-11
아쿠아셀 알티지 오메가3 더 퓨어,비타민D 함량 부족,주식회사 비타플러스,서울특별시 광진구,,850013484720,"1,310mg X 90캡슐(총 117.9g)",데이터없음,거래처 안내 후 보관 재고 반품 실시 (최종 소비자도 안내 실시),2028.8.2,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2499263, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2499264, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2499265",E0000000000000,2026-03-11 14:58:56.627636,3000222919,,3등급,건강기능식품,20240001964,서울특별시,서울특별시 광진구,2026-03-11
크리스타초코뿅,알레르기 유발물질(밀) 미표시,에이원식품,경상남도 김해시,,,82g,데이터없음,,"2026-12-02., 2026-12-03",가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2497028, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2497025",C0303020500000,2026-03-06 20:27:43.094078,3000222808,19940607175311,1등급,초콜릿가공품,19940607175,경상남도,경상남도 김해시,2026-03-06
건강을담은 사과를 가득히,납 기준 규격 부적합,태안농산물가공영농조합법인,충청남도 태안군,,,"100ml, 2500ml(25*100ml)",데이터없음,영업자 회수,2027-02-11,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2495288, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2495289, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2496056",C0309030200000,2026-03-06 14:22:30.222125,3000222696,2021047917512,2등급,과.채주스,20210479175,충청남도,충청남도 태안군,2026-03-06
꿀대추차,세균수 기준 규격 부적합,(주)담터,경기도 포천시,,8803284604245,1kg,데이터없음,"유선연락, 공문발송",2027-09-21,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2493595, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2493597",C0309010200000,2026-03-05 13:40:54.422361,3000222638,2000037230824,3등급,액상차,20060372366,경기도,경기도 포천시,2026-03-05
훈훈수산 보일링 씨푸드,세균수 기준 규격 부적합,(주)훈훈,경기도 시흥시,,8809940080620,1531g,데이터없음,홈페이지 안내를 통해 소비자 보관물량 회수,2026-10-28,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2492322,C0322020400000,2026-03-04 14:14:20.846394,3000222567,20210363114147,3등급,간편조리세트,20210354392,경기도,경기도 시흥시,2026-03-04
도토리 생강캔디,무신고 소분판매,우주상사,서울특별시 성동구,,,600g,2025-11-05,창고재고량 및 소비자 보관물량 회수,2027-11-05,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2490723, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2490724",C0301020000000,2026-02-27 17:34:39.502509,3000222423,,1등급,캔디류,20260054076,서울특별시,서울특별시 성동구,2026-02-27
건강즙(마가목진액),식품원료로 사용 불가 원료(마가목 가지)사용,영화식품,서울특별시 동대문구,,,"3,000ml(100ml*30봉)",데이터없음,소비자 보관 물량 회수,"2027-01-07, 2027-01-14, 2027-01-19, 2027-01-23, 2027-02-05, 2027-02-07",즉석판매제조가공업 제조식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2488511, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2488512",C0309010200000,2026-02-25 18:10:42.999541,3000222318,,1등급,액상차,20150042542,서울특별시,서울특별시 동대문구,2026-02-25
