PRDTNM,RTRVLPRVNS,BSSHNM,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,RTRVLPLANDOC_RTRVLMTHD,DISTBTMLMT,PRDLST_TYPE,IMG_FILE_PATH,PRDLST_CD,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,RTRVL_GRDCD_NM,PRDLST_CD_NM,LCNS_NO,sido,sigungu,record_date
장용성 알래스카 rTG 오메가-3 골드,붕해시험 부적합,(주)파워란트팜,서울특별시 동대문구,,8806817138293,"총 243g(1,350mg X 90캡슐 X 2)",데이터없음,거래처(약국)방문 및 우편 반품 수거예정,2026. 9. 25.,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2018306, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2018307, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2018312, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2018315, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2018998",E0205700000000,2024-04-24 14:04:11.637183,3000185736,,3등급,EPA 및 DHA 함유 유지,20190003478,서울특별시,서울특별시 동대문구,2024-04-24
강황,금속성이물 기준 규격 부적합,성진식품,경기도 광주시,,8801356009202,100g,데이터없음,직접 방문 및 택배 회수,2026-09-18,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1974035, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1974036",C0312050100000,2024-02-23 17:47:58.464947,3000183251,1991036800657,3등급,천연향신료,19910368006,경기도,경기도 광주시,2024-02-23
강황,금속성이물 기준 규격 부적합,성진식품,경기도 광주시,,8801356005457,50g,데이터없음,,2026-09-18,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1975089, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1975090, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1975174",C0312050100000,2024-02-23 17:48:08.292055,3000183346,1991036800657,3등급,천연향신료,19910368006,경기도,경기도 광주시,2024-02-23
강황분말,금속성이물 기준 규격 부적합,(주)신영에프에스,경기도 광주시,,8809258654384,250g,데이터없음,,2026.10.30.,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1876197,C0312050100000,2023-07-31 19:10:55.462941,3000173493,,3등급,천연향신료,20150368481,경기도,경기도 광주시,2023-07-31
강황분말,금속성이물 기준 규격 부적합,(주)신영에프에스,경기도 광주시,,8809258653141,50g,데이터없음,,2026.10.30.,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1876221, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1876220, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1876222",C0312050100000,2023-07-31 19:11:34.87756,3000173500,,3등급,천연향신료,20150368481,경기도,경기도 광주시,2023-07-31
강황분말,금속성이물 기준 규격 부적합,(주)신영에프에스,경기도 광주시,,8809258650263,500g,데이터없음,영업자 직접 회수,2026.10.30.,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1875263, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1875264",C0312050100000,2023-07-31 19:10:19.617429,3000173300,201903878541,3등급,천연향신료,20080368248,경기도,경기도 광주시,2023-07-31
삼보 고운(美)죽염,금속성이물 기준 규격 부적합,(주)삼보죽염,전북특별자치도 고창군,,미표시 제품,1kg,2022-11-23,영업자 직접 회수,미표시 제품,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1854962,C0312060300000,2023-06-22 18:23:59.564389,3000170609,1997050002433,3등급,태움.용융소금,19970500024,전북특별자치도,전북특별자치도 고창군,2023-06-22
그라시아 쿠앤크,금속이물 혼입가능성이 있음,(주)빙그레,경기도 남양주시,,8801104163125,750ml,"제조연월일 2022.11.28, 2022.11.29, 2022.12.12, 2022.12.19, 2022.12.20",판매처 유통재고량 회수,없음,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1770566, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1769746, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1769747",C0302010300000,2022-12-30 17:20:24.188732,3000162218,19980262029216,자율회수,아이스밀크,19980262029,경기도,경기도 남양주시,2022-12-30
쇼콜라,세균수 기준 초과,대보푸드 주식회사,경기도 안산시 상록구,,8809719730107,77 g,2022-09-01,2차 유통업체 창고보관량 등 회수,해당 없음.,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1719338, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1719339, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1719340",C0302010300000,2022-10-12 16:49:33.681481,3000158400,202203500091,,아이스밀크,20220350009,경기도,경기도 안산시,2022-10-12
빵빠레 샌드 카스타드,세균수 기준초과,한보제과주식회사,경기도 이천시,,8801118257025,,20220817,GS  매장 및 물류센터 재고량 전량 회수 및 폐기,해당사항 없음,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1717357, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1717358, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=1717359",C0302010300000,2022-10-07 19:13:41.567096,3000158219,19910262003145,3등급,아이스밀크,19910262003,경기도,경기도 이천시,2022-10-07
