LCNS_NO,haccp_record_count,haccp_certification_count,product_type_count,company_name,industry,haccp_sido,haccp_sigungu
20180618055,1,1,1,합천생약가공영농조합법인,식품제조가공업,경상남도,경상남도 합천군
20180618066,2,2,2,새싹발아통밀빵,식품제조가공업,경상남도,경상남도 합천군
20180618067,3,1,2,(주)구포국수,식품제조가공업,경상남도,경상남도 합천군
20180620029,3,3,3,푸른파파영농조합법인,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180620094,1,1,1,(주)청해푸드,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180620734,1,1,1,거북이식품,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180620851,1,1,1,농업회사법인주식회사배려이노베이션,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180621046,2,2,2,탐미수산,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180621087,1,1,1,노꼬메식품,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180621710,1,1,1,탐나라,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180621801,4,4,3,(주)한솜푸드,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180622195,3,3,3,블루탐영농조합법인,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180622215,13,7,9,(재)제주테크노파크용암해수센터,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180622245,1,1,1,고씨네수산,식품제조가공업,제주특별자치도,제주특별자치도 제주시
20180624406,2,2,2,(주)비지에프푸드제주,식품제조가공업,제주특별자치도,제주특별자치도 서귀포시
20180624407,3,2,3,하효살롱협동조합,식품제조가공업,제주특별자치도,제주특별자치도 서귀포시
20180624624,1,1,1,귤향 영농조합법인,식품제조가공업,제주특별자치도,제주특별자치도 서귀포시
20190014249,4,4,4,주식회사 스퀴즈맥주 순창공장,식품제조가공업(주류),전북특별자치도,전북특별자치도 순창군
20190029274,1,1,1,트라이얼라이언스,식품소분업,서울특별시,서울특별시 중구
20190029466,6,3,3,(주)쿠엔즈버킷,식품제조가공업,서울특별시,서울특별시 중구
20190030717,2,2,2,주식회사 찬스토어,식품제조가공업,서울특별시,서울특별시 중구
20190036363,2,2,2,주식회사 프레시코드,식품제조가공업,서울특별시,서울특별시 성동구
20190036910,2,1,1,주식회사 이립,식품제조가공업,서울특별시,서울특별시 성동구
20190036920,2,2,2,에스디푸드 성동미래일자리(주),식품제조가공업,서울특별시,서울특별시 성동구
20190037046,1,1,1,쁠렌느륀,식품제조가공업,서울특별시,서울특별시 성동구
20190037250,1,1,1,주식회사 왕들의식탁,식품제조가공업,서울특별시,서울특별시 성동구
20190056491,2,2,2,미리내푸드,식품제조가공업,서울특별시,서울특별시 도봉구
20190059427,2,2,2,노원김치협동조합,식품제조가공업,서울특별시,서울특별시 노원구
20190060386,3,1,1,(주)예성에프앤비,식품제조가공업,경기도,경기도 포천시
20190063057,1,1,1,맛있는이야기,식품제조가공업,서울특별시,서울특별시 은평구
20190063250,1,1,1,(주)온어락소다,식품제조가공업,서울특별시,서울특별시 은평구
20190064375,2,1,1,중독팩토리,식품제조가공업,서울특별시,서울특별시 은평구
20190073189,2,1,1,탄도리푸드서비스,식품제조가공업,서울특별시,서울특별시 양천구
20190077542,2,2,2,어업회사법인 주식회사 새롬물산,식품제조가공업,서울특별시,서울특별시 강서구
20190084032,1,1,1,히카리,식품제조가공업,서울특별시,서울특별시 금천구
20190084364,2,1,1,(주)휴버트,식품제조가공업,경기도,경기도 화성시
20190084406,1,1,1,한양식품,식품제조가공업,서울특별시,서울특별시 금천구
20190085116,4,4,4,주식회사 인퓨저,식품제조가공업,서울특별시,서울특별시 금천구
20190086933,1,1,1,커피기업,식품제조가공업,서울특별시,서울특별시 영등포구
20190087767,4,4,4,바오담 문래센터,식품제조가공업,서울특별시,서울특별시 영등포구
20190087835,1,1,1,(주)엘리스파이,식품제조가공업,서울특별시,서울특별시 영등포구
20190094880,1,1,1,찰리와디저트공장,식품제조가공업,서울특별시,서울특별시 관악구
20190098899,8,2,2,(주)톰볼라,식품제조가공업,서울특별시,서울특별시 금천구
20190100468,1,1,1,씨앤피푸드공장,식품제조가공업,서울특별시,서울특별시 서초구
20190114144,1,1,1,제로베이커리,식품제조가공업,서울특별시,서울특별시 송파구
20190114426,4,2,1,바이오나이자,식품제조가공업,서울특별시,서울특별시 송파구
20190115028,1,1,1,(주)로잇츠,식품제조가공업,서울특별시,서울특별시 송파구
20190115136,2,1,1,주)앙팡드봉봉,식품제조가공업,경기도,경기도 하남시
20190120034,2,2,2,조은푸드,식품제조가공업,서울특별시,서울특별시 강동구
20190128012,1,1,1,와이비씨푸드(주),식품제조가공업,부산광역시,부산광역시 서구
20190128057,4,4,4,(주)청아 SP&T,식품제조가공업,부산광역시,부산광역시 서구
20190128281,2,2,2,주식회사 부산정식품,식품제조가공업,부산광역시,부산광역시 서구
20190128284,3,3,3,(주)바다를품다,식품제조가공업,부산광역시,부산광역시 서구
20190137535,2,2,2,(주)올투딜리셔스,식품제조가공업,부산광역시,부산광역시 남구
20190139637,1,1,1,주식회사 행복식품,식품제조가공업,부산광역시,부산광역시 북구
20190141392,2,2,2,연옥김치 전문점,식품제조가공업,부산광역시,부산광역시 해운대구
20190141470,2,2,2,주식회사 이에이치알앤디센터,식품제조가공업,부산광역시,부산광역시 해운대구
20190141526,3,3,3,주식회사 에스나인바이오사이언스,식품제조가공업,부산광역시,부산광역시 해운대구
20190142054,1,1,1,(주)부파리스(vous par is),식품제조가공업,부산광역시,부산광역시 해운대구
20190142143,4,2,2,주식회사 씨에프씨,식품제조가공업,부산광역시,부산광역시 금정구
20190142473,3,1,1,가야농산,식품제조가공업,부산광역시,부산광역시 해운대구
20190144030,2,2,1,다선어묵,식품제조가공업,부산광역시,부산광역시 사하구
20190144126,1,1,1,(주)태명수산,식품제조가공업,부산광역시,부산광역시 사하구
20190144127,2,2,2,(주)에스제이씨푸드,식품제조가공업,부산광역시,부산광역시 사하구
20190144180,1,1,1,(주)진양티엔에프,식품제조가공업,부산광역시,부산광역시 사하구
20190144268,3,3,3,(주)에스아이홀푸드,식품제조가공업,부산광역시,부산광역시 사하구
20190144303,5,5,5,주식회사 두나래씨푸드,식품제조가공업,부산광역시,부산광역시 사하구
20190144494,2,2,1,나라수산(NARA SEAFOOD),식품제조가공업,부산광역시,부산광역시 사하구
20190144702,2,2,2,솔솔팩토리,식품제조가공업,부산광역시,부산광역시 사하구
20190144732,2,2,2,(주)동화수산,식품제조가공업,부산광역시,부산광역시 사하구
20190144840,5,5,5,초산씨푸드(주),식품제조가공업,부산광역시,부산광역시 사하구
20190144860,2,2,2,(주)오션스퀘어,식품제조가공업,부산광역시,부산광역시 사하구
20190149463,1,1,1,금촌식품,식품제조가공업,부산광역시,부산광역시 강서구
20190149756,3,3,3,(주)핸즈온,식품제조가공업,부산광역시,부산광역시 강서구
20190150292,1,1,1,고담,식품제조가공업,부산광역시,부산광역시 연제구
20190150427,6,2,2,호맥,식품제조가공업,부산광역시,부산광역시 연제구
20190150652,4,2,2,파파김치,식품제조가공업,부산광역시,부산광역시 동래구
20190152060,1,1,1,(주)청담식품,식품제조가공업,부산광역시,부산광역시 수영구
20190152133,4,2,2,아뮤즈에프엔비,식품제조가공업,부산광역시,부산광역시 해운대구
20190154192,4,4,4,에이엔디(AND)푸드,식품제조가공업,부산광역시,부산광역시 사상구
20190154438,1,1,1,동해식품,식품제조가공업,부산광역시,부산광역시 사상구
20190156015,2,2,2,삼광수산(주),식품제조가공업,부산광역시,부산광역시 기장군
20190156205,2,2,2,(주)한국푸드본 정관공장,식품제조가공업,부산광역시,부산광역시 기장군
20190156330,1,1,1,주식회사 올마이트,식품제조가공업,부산광역시,부산광역시 기장군
20190156561,3,3,3,(주)엔제이에프앤비,식품제조가공업,부산광역시,부산광역시 기장군
20190156665,2,2,2,(주)원베이커리,식품제조가공업,부산광역시,부산광역시 기장군
20190161065,2,2,2,농업회사법인주식회사 사람과연근플러스자연,식품제조가공업,대구광역시,대구광역시 동구
20190161118,1,1,1,대자연팔공수,식품제조가공업,대구광역시,대구광역시 동구
20190161464,2,2,2,케이터링서비스파트너(주),식품제조가공업,대구광역시,대구광역시 동구
20190161794,2,2,2,(주)울프코퍼레이션,식품제조가공업,대구광역시,대구광역시 동구
20190164285,4,4,4,아이선,식품제조가공업,대구광역시,대구광역시 서구
20190164335,6,6,3,뉴트리디언,식품제조가공업,대구광역시,대구광역시 서구
20190170401,6,2,2,주식회사 와이마임,식품제조가공업,대구광역시,대구광역시 달서구
20190175748,2,1,1,룰리커피,식품제조가공업,대구광역시,대구광역시 수성구
20190182509,2,2,2,(주)성빈식품,식품제조가공업,대구광역시,대구광역시 달서구
20190183426,1,1,1,팡드켜흐,식품제조가공업,대구광역시,대구광역시 달서구
20190189139,9,5,7,달성군농산물가공영농조합법인,식품제조가공업,대구광역시,대구광역시 달성군
20190189370,1,1,1,주식회사 디앤씨바이오,식품제조가공업,대구광역시,대구광역시 달성군
20190189549,2,2,2,사문진푸드시스템,식품제조가공업,대구광역시,대구광역시 달성군
